S.N.,Symbol,Company,Listed Share,Paid-up (Rs),Total Paid-up Capital (Rs),Date of Operation,Sector,EPS,PE ratio,Book Value
1,NHPC,National Hydro Power Company Limited,"16,417,919.00",100,"1,641,791,900.00",,Hydropower,4,17.5,320
2,BPCL,Butwal Power Company Limited,"34,086,432.00",100,"3,408,643,200.00",,Hydropower,5,18.5,321
3,CHCL,Chilime Hydro power Company Limited,"72,581,791.00",100,"7,258,179,100.00",,Hydropower,6,19.5,322
4,AHPC,Arun Valley Hydropower Development Company Limited,"18,679,626.00",100,"1,867,962,600.00",,Hydropower,7,20.5,323
5,SJCL,Sanjen Jalavidhyut Company Limited,"32,850,000.00",100,"3,285,000,000.00",,Hydropower,8,21.5,324
6,SHPC,Sanima Mai Hydropower Limited,"30,892,510.00",100,"3,089,251,000.00",,Hydropower,9,22.5,325
7,RHPL,Rasuwagadhi Hydropower Company Limited,"61,578,900.00",100,"6,157,890,000.00",,Hydropower,10,23.5,326
8,BARUN,Barun Hydropower Company Limited,"5,358,150.00",100,"535,815,000.00",,Hydropower,11,24.5,327
9,UPPER,Upper Tamakoshi Hydropower Limited,"105,900,001.00",100,"10,590,000,100.00",,Hydropower,12,25.5,328
10,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,"60,000,000.00",100,"6,000,000,000.00",,Hydropower,13,26.5,329
11,AKPL,Arun Kabeli Power Limited,"20,407,316.00",100,"2,040,731,600.00",,Hydropower,14,27.5,330
12,API,Api Power Company Limited,"41,332,843.00",100,"4,133,284,300.00",,Hydropower,15,28.5,331
13,MKJC,Mailung Khola Jal Vidhyut Company Limited,"3,681,430.00",100,"368,143,000.00",,Hydropower,16,29.5,332
14,DORDI,Dordi Khola Hydropower Company Limited,"10,542,604.00",100,"1,054,260,400.00",,Hydropower,17,30.5,333
15,MHL,Mandakini Hydropower Limited,"5,880,369.00",100,"588,036,900.00",,Hydropower,18,31.5,334
16,DHPL,Dibyashwari Hydropower Company Limited,"2,640,000.00",100,"264,000,000.00",,Hydropower,19,32.5,335
17,NYADI,Nyadi Hydropower  Limited,"15,000,000.00",100,"1,500,000,000.00",,Hydropower,20,33.5,336
18,NGPL,Ngadi Group Power Limited,"18,512,792.00",100,"1,851,279,200.00",,Hydropower,21,34.5,337
19,RADHI,Radhi Bidyut Company Limited,"16,759,799.00",100,"1,675,979,900.00",,Hydropower,22,35.5,338
20,KKHC,Khani Khola Hydropower Company Limited,"4,657,143.00",100,"465,714,300.00",,Hydropower,23,36.5,339
21,GHL,Ghalemdi Hydro Limited,"5,500,000.00",100,"550,000,000.00",,Hydropower,24,37.5,340
22,HURJA,Himalaya Urja Bikas Company Limited,"9,900,000.00",100,"990,000,000.00",,Hydropower,25,38.5,341
23,UMHL,United Modi Hydropower Limited,"12,305,000.00",100,"1,230,500,000.00",,Hydropower,26,39.5,342
24,AKJCL,Ankhukhola Hydropower Company Limited,"8,000,000.00",100,"800,000,000.00",,Hydropower,27,40.5,343
25,UPCL,Universal Power Company Limited,"21,003,500.00",100,"2,100,350,000.00",,Hydropower,28,41.5,344
26,SPL,Shuvam Power Limited,"2,000,000.00",100,"200,000,000.00",,Hydropower,29,42.5,345
