S.N.,Symbol,Company,Listed Share,Paid-up (Rs),Total Paid-up Capital (Rs),Date of Operation,Sector,EPS,PE ratio,Book Value
1,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,"26,120,798.00",100,"2,612,079,800.00",7/17/1997,Microfinance,25,18,400
2,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,"28,354,020.00",100,"2,835,402,000.00",12/10/2001,Microfinance,26,19,401
3,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,"15,262,484.00",100,"1,526,248,400.00",7/3/2001,Microfinance,27,20,402
4,SWBBL,Swabalamban Laghubitta Bittiya Sanstha Limited,"12,904,955.00",100,"1,290,495,500.00",2/22/2002,Microfinance,28,21,403
5,NLBBL,Nerude Laghubitta Bittiya Sanstha Limited,"7,320,000.00",100,"732,000,000.00",6/15/2007,Microfinance,29,22,404
6,MMFDB,Mirmire Laghubitta Bittiya Sanstha Limited,"6,533,828.00",100,"653,382,800.00",9/3/2010,Microfinance,30,23,405
7,FMDBL,First Microfinance Laghubitta Bittiya Sanstha Limited,"9,644,924.00",100,"964,492,400.00",12/28/2009,Microfinance,31,24,406
8,SMFDB,Summit Laghubitta Bittiya Sanstha Limited,"4,940,000.00",100,"494,000,000.00",5/20/2009,Microfinance,32,25,407
9,RMDC,RMDC Laghubitta Bittiya Sanstha Limited,"15,637,435.00",100,"1,563,743,500.00",12/6/1999,Microfinance,33,26,408
10,SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited,"19,711,614.00",100,"1,971,161,400.00",3/11/2002,Microfinance,34,27,409
11,SLBBL,Swarojgar Laghubitta Bittiya Sanstha Limited,"6,272,010.00",100,"627,201,000.00",5/20/2009,Microfinance,35,28,410
12,KMCDB,Kalika Laghubitta Bittiya Sanstha Limited,"3,723,218.00",100,"372,321,800.00",7/21/2010,Microfinance,36,29,411
13,JSLBB,Janautthan Samudayic Laghubitta Bittiya Sanstha Limited,"1,700,919.00",100,"170,091,900.00",11/9/2010,Microfinance,37,30,412
14,MLBBL,Mithila Laghubitta Bittiya Sanstha Limited,"1,960,029.00",100,"196,002,900.00",4/29/2009,Microfinance,38,31,413
15,LLBS,Laxmi Laghubitta Bittiya Sanstha Limited,"4,416,621.00",100,"441,662,100.00",6/4/2012,Microfinance,39,32,414
16,CLBSL,Civil Laghubitta Bittiya Sanstha Limited,"3,198,182.00",100,"319,818,200.00",1/5/2012,Microfinance,40,33,415
17,VLBS,Vijaya Laghubitta Bittiya Sanstha Limited,"3,840,000.00",100,"384,000,000.00",3/28/2013,Microfinance,41,34,416
18,FOWAD,Forward Microfinance Laghubitta Bittiya Sanstha Limited,"8,444,510.00",100,"844,451,000.00",5/17/2013,Microfinance,42,35,417
19,MERO,Mero Microfinance Laghubitta Bittiya Sanstha Limited,"13,200,000.00",100,"1,320,000,000.00",7/18/2013,Microfinance,43,36,418
20,GILB,Global IME Laghubitta Bittiya Sanstha Limited,"6,189,001.00",100,"618,900,100.00",5/19/2013,Microfinance,44,37,419
21,RSDC,RSDC Laghubitta Bittiya Sanstha Limited,"8,695,685.00",100,"869,568,500.00",9/11/2013,Microfinance,45,38,420
22,NMBMF,NMB Laghubitta Bittiya Sanstha Limited,"7,214,493.00",100,"721,449,300.00",3/31/2013,Microfinance,46,39,421
23,GBLBS,Grameen Bikas Laghubitta Bittiya Sanstha Limited,"9,825,000.00",100,"982,500,000.00",8/15/2014,Microfinance,47,40,422
24,NMFBS,National Microfinance Laghubitta Bittiya Sanstha Limited,"6,746,763.00",100,"674,676,300.00",7/2/2014,Microfinance,48,41,423
25,SMATA,Samata Gharelu Laghubitta Bittiya Sanstha Limited,"3,941,558.00",100,"394,155,800.00",8/25/2013,Microfinance,49,42,424
26,MSLB,Mahuli Laghubitta Bittiya Sanstha Limited,"3,223,785.00",100,"322,378,500.00",6/15/2013,Microfinance,50,43,425
27,SLBSL,Samudayik Laghubitta Bittiya Sanstha Limited,"1,320,000.00",100,"132,000,000.00",4/13/2014,Microfinance,51,44,426
28,NADEP,NADEP Laghubitta Bittiya Sanstha Limited,"4,857,600.00",100,"485,760,000.00",5/15/2015,Microfinance,52,45,427
29,SMB,Support Laghubitta Bittiya Sanstha Limited,"952,380.00",100,"95,238,000.00",7/12/2015,Microfinance,53,46,428
30,GMFBS,Ganapati Laghubitta Bittiya Sanstha Limited,"1,515,546.00",100,"151,554,600.00",12/9/2016,Microfinance,54,47,429
31,ALBSL,Asha Laghubitta Bittiya Sanstha Limited,"3,816,160.00",100,"381,616,000.00",8/29/2016,Microfinance,55,48,430
32,ILBS,Infinity Laghubitta Bittiya Sanstha Limited,"4,974,160.00",100,"497,416,000.00",1/20/2017,Microfinance,56,49,431
33,SMFBS,Swabhimaan Laghubitta Bittiya Sanstha Limited,"1,461,386.00",100,"146,138,600.00",8/23/2017,Microfinance,57,50,432
34,GLBSL,Gurans Laghubitta Bittiya Sanstha Limited,"1,014,000.00",100,"101,400,000.00",11/16/2016,Microfinance,58,51,433
35,SABSL,Sabaiko Laghubitta Bittiya Sanstha Limited,"3,186,000.00",100,"318,600,000.00",7/14/2017,Microfinance,59,52,434
36,SDLBSL,Sadhana Laghubitta Bittiya Sanstha Limited,"3,822,583.00",100,"382,258,300.00",10/30/2017,Microfinance,60,53,435
37,MKLB,Manakamana Smart Laghubitta Bittiya Sanstha Limited,"1,484,784.00",100,"148,478,400.00",,Microfinance,61,54,436
38,NICLBSL,NIC Asia Laghubitta Bittiya Sanstha Limited,"17,394,400.00",100,"1,739,440,000.00",11/21/2017,Microfinance,62,55,437
39,MLBS,Manushi Laghubitta Bittiya Sanstha Limited,"1,093,750.00",100,"109,375,000.00",11/17/2018,Microfinance,63,56,438
40,RULB,Rastra Utthan Laghubitta Bittiya Sanstha Limited,"2,600,000.00",100,"260,000,000.00",,Microfinance,64,57,439
41,MLBSL,Mahila Laghubitta Bittiya Sanstha Limited,"2,175,625.00",100,"217,562,500.00",10/18/2018,Microfinance,65,58,440
42,JBLB,Jeevan Bikas Laghubitta Bittiya Sanstha Limited,"11,820,269.00",100,"1,182,026,900.00",,Microfinance,66,59,441
43,ADLB,Adarsha Laghubitta Bittiya Sanstha Limited,"248,400.00",100,"24,840,000.00",12/16/2018,Microfinance,67,60,442
44,SHLB,Shrijanshil Laghubitta Bittiya Sanstha Limited,"1,093,750.00",100,"109,375,000.00",,Microfinance,68,61,443
45,ULBSL,Upakar Laghubitta Bittiya Sanstha Limited,"1,061,484.00",100,"106,148,400.00",,Microfinance,69,62,444
46,NESDO,Nesdo Sambridha Laghubitta Bittiya Sanstha Limited,"2,550,000.00",100,"255,000,000.00",,Microfinance,70,63,445
47,USLB,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,"2,290,207.00",100,"229,020,700.00",,Microfinance,71,64,446
48,UNLB,Unique Nepal Laghubitta Bittiya Sanstha Limited,"1,106,325.00",100,"110,632,500.00",,Microfinance,72,65,447
49,KLBSL,Kisan Laghubitta Bittiya Sanstha Limited(Former NRN Laghubitta Bittiya Sanstha Limited),"5,043,665.00",100,"504,366,500.00",,Microfinance,73,66,448
50,DLBS,Dhaulagiri Laghubitta Bittiya Sanstha Limited,"1,031,000.00",100,"103,100,000.00",,Microfinance,74,67,449
51,ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,"623,380.00",100,"62,338,000.00",,Microfinance,75,68,450
52,CYCL,CYC Nepal Laghubitta Bittiya Sanstha Limited,"1,581,343.00",100,"158,134,300.00",,Microfinance,76,69,451
53,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,"2,500,000.00",100,"250,000,000.00",,Microfinance,77,70,452
54,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,"3,671,435.00",100,"367,143,500.00",,Microfinance,78,71,453
55,NSLB,Naya Sarathi Laghubitta Bittiya Sanstha Limited,"3,610,404.00",100,"361,040,400.00",,Microfinance,79,72,454
56,JALPA,Jalpa  Samudayik Laghubitta Bittiya Sanstha Limited,"1,600,000.00",100,"160,000,000.00",,Microfinance,80,73,455
57,BPW,BPW Laghubitta Bittiya Sanstha Limited,"300,000.00",100,"30,000,000.00",,Microfinance,81,74,456
58,KLBS,Khaptad Laghubitta Bittiya Sanstha Limited,"400,000.00",100,"40,000,000.00",,Microfinance,82,75,457
59,WNLB,Wean Nepal Laghubitta Bittiya Sanstha Limited,"792,055.00",100,"79,205,500.00",,Microfinance,83,76,458
60,SWMF,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,"9,107,825.00",100,"910,782,500.00",,Microfinance,84,77,459
